0.0008	-0.00589	40.45
0.00124	-0.00727	40.45
0.00177	-0.00864	40.45
0.00238	-0.00998	40.45
0.00309	-0.01134	40.45
0.00388	-0.01266	40.45
0.00476	-0.01397	40.45
0.00572	-0.01526	40.45
0.00678	-0.01656	40.45
0.00792	-0.01785	40.45
0.00915	-0.01914	40.45
0.01047	-0.02044	40.45
0.01187	-0.02174	40.45
0.01337	-0.02306	40.45
0.01495	-0.02438	40.45
0.01662	-0.02571	40.45
0.01837	-0.02705	40.45
0.02022	-0.02841	40.45
0.02215	-0.02976	40.45
0.02417	-0.03112	40.45
0.02627	-0.03248	40.45
0.02847	-0.03384	40.45
0.03075	-0.0352	40.45
0.03312	-0.03655	40.45
0.03558	-0.03789	40.45
0.03812	-0.03923	40.45
0.04076	-0.04056	40.45
0.04348	-0.04188	40.45
0.04629	-0.04319	40.45
0.04918	-0.04449	40.45
0.05217	-0.04579	40.45
0.05524	-0.04708	40.45
0.0584	-0.04836	40.45
0.06164	-0.04963	40.45
0.06498	-0.05089	40.45
0.0684	-0.05215	40.45
0.07191	-0.0534	40.45
0.07551	-0.05464	40.45
0.07919	-0.05587	40.45
0.08297	-0.05709	40.45
0.08683	-0.05831	40.45
0.09077	-0.05951	40.45
0.09481	-0.06071	40.45
0.09893	-0.06189	40.45
0.10315	-0.06306	40.45
0.10745	-0.06422	40.45
0.11183	-0.06536	40.45
0.11631	-0.06648	40.45
0.12087	-0.06759	40.45
0.12552	-0.06868	40.45
0.13026	-0.06975	40.45
0.13508	-0.07079	40.45
0.13999	-0.07182	40.45
0.14499	-0.07282	40.45
0.15008	-0.0738	40.45
0.15526	-0.07476	40.45
0.16052	-0.07568	40.45
0.16587	-0.07658	40.45
0.17131	-0.07746	40.45
0.17684	-0.0783	40.45
0.18245	-0.07911	40.45
0.18816	-0.07989	40.45
0.19395	-0.08063	40.45
0.19982	-0.08134	40.45
0.20579	-0.08201	40.45
0.21184	-0.08264	40.45
0.21798	-0.08324	40.45
0.22421	-0.0838	40.45
0.23053	-0.08432	40.45
0.23693	-0.08479	40.45
0.24342	-0.08523	40.45
0.25	-0.08561	40.45
0.25667	-0.08595	40.45
0.26333	-0.08624	40.45
0.27	-0.08648	40.45
0.27667	-0.08667	40.45
0.28333	-0.0868	40.45
0.29	-0.08689	40.45
0.29667	-0.08693	40.45
0.30333	-0.08692	40.45
0.31	-0.08686	40.45
